LapTime,MaxSpeed,AvgThrottle,AirTemp,Driver,TeamName,GridGroup
121.184,293.0,55.18912868199472,15.0,PIA,McLaren,Top5
100.266,300.0,63.41622175318172,15.0,NOR,McLaren,Top5
100.42,300.0,65.69066599320205,15.0,HAM,Mercedes,Top5
123.138,293.0,63.0636509406815,15.0,LEC,Ferrari,Midfield
101.533,297.0,62.57937544968482,15.0,VER,Red Bull Racing,Top5
100.405,302.0,64.86625118838388,15.0,RUS,Mercedes,Top5
102.447,300.0,65.75155791304539,15.0,SAI,Ferrari,Top10
105.224,295.0,55.800440352044006,15.0,PER,Red Bull Racing,Backmarker
102.641,301.0,62.588091917560135,15.0,HUL,Haas F1 Team,Top10
102.992,298.0,60.66975114807239,15.0,STR,Aston Martin,Top10
103.072,299.0,60.958000676025534,15.0,ALO,Aston Martin,Top10
103.749,303.0,61.78708920170226,15.0,TSU,RB,Midfield
101.716,295.0,65.70341880026456,14.9,OCO,Alpine,Backmarker
101.726,301.0,57.22311060575849,14.9,ALB,Williams,Top10
102.842,301.0,62.31474801300241,14.9,MAG,Haas F1 Team,Backmarker
102.215,302.0,61.121742810422504,14.9,SAR,Williams,Midfield
103.377,298.0,61.06421083531297,14.9,RIC,RB,Midfield
103.302,296.0,62.770789824919916,14.9,BOT,Kick Sauber,Backmarker
101.866,295.0,63.27398389063221,14.9,ZHO,Kick Sauber,Midfield
100.717,300.0,62.8984146897056,14.9,NOR,McLaren,Top5
100.467,300.0,65.39261791710173,14.9,HAM,Mercedes,Top5
102.098,298.0,62.766126969032385,14.9,VER,Red Bull Racing,Top5
101.237,302.0,62.738442439846224,14.9,RUS,Mercedes,Top5
102.737,290.0,66.29327024264218,14.9,SAI,Ferrari,Top10
124.385,298.0,58.66235426057333,14.9,PER,Red Bull Racing,Backmarker
100.492,299.0,62.54862445814257,14.9,PIA,McLaren,Top5
101.602,298.0,64.56615308262961,14.9,LEC,Ferrari,Midfield
102.811,302.0,62.93325973343867,14.9,HUL,Haas F1 Team,Top10
103.066,297.0,59.535664461891635,14.9,STR,Aston Martin,Top10
102.577,300.0,60.622437066766366,14.9,ALO,Aston Martin,Top10
102.967,305.0,62.13994068514476,14.9,TSU,RB,Midfield
102.362,295.0,66.06119995718758,14.9,OCO,Alpine,Backmarker
103.271,301.0,54.545469714132764,14.9,ALB,Williams,Top10
102.133,300.0,61.78901779319549,14.9,MAG,Haas F1 Team,Backmarker
102.476,301.0,61.723463034647345,14.9,SAR,Williams,Midfield
103.298,298.0,62.71089023246588,14.9,RIC,RB,Midfield
103.472,289.0,63.21246909757422,14.9,BOT,Kick Sauber,Backmarker
101.993,295.0,63.35739712505299,14.9,ZHO,Kick Sauber,Midfield
101.313,300.0,62.524555578353734,14.9,NOR,McLaren,Top5
101.538,301.0,65.56935259024658,14.9,HAM,Mercedes,Top5
102.025,297.0,64.1563238936772,14.9,VER,Red Bull Racing,Top5
101.902,301.0,62.70712060210286,14.9,RUS,Mercedes,Top5
103.007,296.0,65.14682480209194,14.9,SAI,Ferrari,Top10
