Time_x,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Abbreviation,GridPosition,ClassifiedPosition,Status,MaxSpeed,AvgSpeed,AvgThrottle,AvgBrake,AvgRPM,LapStartTime_s,Time_y,AirTemp,Humidity,TrackTemp,TotalSectorTime,Winner,Podium,RacePhase,GridGroup,SpeedCategory,Driver_ALO,Driver_BOT,Driver_HAM,Driver_HUL,Driver_LEC,Driver_MAG,Driver_NOR,Driver_OCO,Driver_PER,Driver_PIA,Driver_RIC,Driver_RUS,Driver_SAI,Driver_SAR,Driver_STR,Driver_TSU,Driver_VER,Driver_ZHO,TeamName_Aston Martin,TeamName_Ferrari,TeamName_Haas F1 Team,TeamName_Kick Sauber,TeamName_McLaren,TeamName_Mercedes,TeamName_RB,TeamName_Red Bull Racing,TeamName_Williams,Compound_INTERMEDIATE,Compound_MEDIUM,Compound_SOFT,Predicted_LapTime
0 days 01:22:49.734000,4,91.69,-0.7126720273209403,1.0,,,29.378,-0.8014322900976102,25.505,0 days 01:21:47.483000,0 days 01:22:24.290000,0 days 01:22:49.795000,293.0,260.0,247.0,296.0,False,16.0,True,McLaren,0 days 01:21:18.044000,2024-07-07 14:26:15.073,1,3.0,False,,False,True,NOR,3.0,3.0,Finished,-0.599059748005319,0.7127286369821041,0.7885086984060553,-0.9321459173815003,0.03007036231839238,4878.044,4865.627,1.160959084332437,59.0,0.1715226928321783,91.69,0,1,Early,Top5,VeryFast,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,90.58453298624799
0 days 01:04:33.922000,27,92.563,-1.5356148582490585,1.0,,,29.462,-0.3982488430721725,25.293,0 days 01:03:30.861000,0 days 01:04:08.669000,0 days 01:04:33.962000,310.0,258.0,246.0,322.0,True,4.0,True,Haas F1 Team,0 days 01:03:01.359000,2024-07-07 14:07:58.388,1,9.0,False,,False,True,HUL,6.0,6.0,Finished,1.8744586445974487,0.4824366303486139,-0.29963384719696623,-0.21448666862282645,0.6275973130753164,3781.359,3725.493,0.8881542111589152,61.0,0.13186845219975876,92.56299999999999,0,0,Early,Top10,Fast,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,94.87137900641027
0 days 01:29:40.103000,27,97.529,-0.4383577503449008,1.0,,,31.584,0.3912012629916238,26.177,0 days 01:28:34.198000,0 days 01:29:13.966000,0 days 01:29:40.143000,284.0,247.0,246.0,295.0,False,20.0,True,Haas F1 Team,0 days 01:28:02.574000,2024-07-07 14:32:59.603,1,7.0,False,,False,True,HUL,6.0,6.0,Finished,-0.8141483038838205,-0.15210264277072105,-0.3003628922401467,0.5674597692679582,0.7214152033073776,5282.574,5225.66,0.7517517745721518,64.0,-0.4232909166541274,97.529,0,0,Mid,Top10,Medium,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,95.77158972005219
0 days 01:16:49.189000,55,92.358,-0.9869863042969798,1.0,,,29.645,-0.5960141502544805,25.396,0 days 01:15:46.516000,0 days 01:16:23.833000,0 days 01:16:49.229000,291.0,259.0,246.0,296.0,False,12.0,True,Ferrari,0 days 01:15:16.831000,2024-07-07 14:20:13.860,1,6.0,False,,False,True,SAI,7.0,5.0,Finished,-0.599059748005319,0.5424165687981655,1.1827600355762025,-0.681416190490093,-0.07084007019500124,4516.831,4505.547,1.433763957505959,59.0,0.5284108585239625,92.358,0,0,Early,Top10,Fast,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,90.99760814009569
0 days 02:22:12.956000,20,91.982,1.7561564654634148,3.0,,,29.827,-0.7043621495050721,25.107,0 days 02:21:10.835000,0 days 02:21:47.883000,0 days 02:22:12.990000,295.0,258.0,249.0,306.0,False,15.0,True,Haas F1 Team,0 days 02:20:40.974000,2024-07-07 15:25:38.003,1,12.0,False,,False,True,MAG,17.0,12.0,Finished,0.36883875344793793,0.6723375257116259,0.4089171919120408,-0.8855203718800909,1.0113995354502094,8440.974,8406.092,0.206142028225108,69.0,0.4887566178915416,91.982,0,0,Late,Backmarker,Fast,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,92.6436880597385
0 days 02:08:47.620000,4,89.752,1.2075279115113358,3.0,,,29.102,-1.091837150542508,24.564,0 days 02:07:47.031000,0 days 02:08:23.117000,0 days 02:08:47.681000,293.0,263.0,251.0,300.0,False,7.0,False,McLaren,0 days 02:07:17.868000,2024-07-07 15:12:14.897,1,2.0,False,,False,True,NOR,3.0,3.0,Finished,0.4763830313871887,1.0117100103494177,0.5705304740678835,-1.3945734468752409,0.3789378053353366,7637.868,7626.012,-0.47587015470869926,75.0,0.3697938959942802,89.75200000000001,0,1,Late,Top5,VeryFast,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,91.41528740267448
0 days 01:21:52.904000,77,93.228,-0.7812505965649501,1.0,,,29.765,-0.3841515197496032,25.62,0 days 01:20:49.496000,0 days 01:21:27.339000,0 days 01:21:52.959000,286.0,253.0,246.0,289.0,False,15.0,True,Kick Sauber,0 days 01:20:19.676000,2024-07-07 14:25:16.705,1,17.0,False,,False,True,BOT,16.0,15.0,Lapped,-0.9216925818230712,0.4547234997360135,0.9676737668393547,0.3441103239229902,0.5965102646745625,4819.676,4805.646,1.160959084332437,59.0,0.2508311740970202,93.22800000000001,0,0,Early,Backmarker,Fast,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,92.08563284877631
0 days 01:37:30.031000,18,95.351,-0.09546490412485154,1.0,,,29.9,-0.03051009468633418,26.73,0 days 01:36:24.639000,0 days 01:37:03.360000,0 days 01:37:30.090000,295.0,254.0,239.0,299.0,False,25.0,True,Aston Martin,0 days 01:35:54.680000,2024-07-07 14:40:51.709,1,9.0,False,,False,True,STR,8.0,7.0,Finished,-0.4915154700660682,0.12991406671470193,0.30194988239372295,0.8003631508584034,-0.09608354011610315,5754.68,5705.725,-0.7486750278822236,68.0,-0.7801790823459103,95.351,0,0,Mid,Top10,Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,93.9680769161329
0 days 01:55:16.294000,31,105.511,0.5217422190712372,4.0,,,32.936,1.9197538918243313,29.012,0 days 01:54:03.784000,0 days 01:54:47.347000,0 days 01:55:16.359000,282.0,240.0,226.0,285.0,False,8.0,True,Alpine,0 days 01:53:30.783000,2024-07-07 14:58:27.812,1,17.0,False,,False,True,OCO,18.0,16.0,Lapped,-1.5669582494585759,-1.2563630115100832,-0.9501105382481371,2.148304358149615,-2.128149040477549,6810.783,6785.879,-1.430687210816031,76.0,-1.0577587667728525,105.511,0,0,Mid,Backmarker,Slow,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,105.93971983083131
0 days 01:25:56.126000,63,96.365,-0.5755148888329206,1.0,,,30.185,-0.4292629543818209,28.449,0 days 01:24:50.001000,0 days 01:25:27.732000,0 days 01:25:56.181000,293.0,255.0,217.0,302.0,False,18.0,True,Mercedes,0 days 01:24:19.761000,2024-07-07 14:29:16.790,1,2.0,False,,False,True,RUS,1.0,,Retired,-0.2764269141875667,-0.05323505296023158,-0.1454308199480357,-0.06129619911727737,1.0710546549970812,5059.761,5045.641,1.160959084332437,61.0,0.13186845219975876,96.365,0,0,Mid,Top5,Medium,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,96.52059344234189
0 days 01:28:55.771000,24,106.313,-0.5069363195889107,2.0,,0 days 01:28:49.813000,37.038,1.2970549816331947,27.258,0 days 01:27:46.553000,0 days 01:28:28.570000,0 days 01:28:55.828000,277.0,238.0,,292.0,False,7.0,True,Kick Sauber,0 days 01:27:09.458000,2024-07-07 14:32:06.487,1,19.0,False,,False,False,ZHO,14.0,18.0,Lapped,-0.8141483038838205,-1.7655397407374405,-1.979457635958577,1.25765253888848,-1.4432870085596017,5229.458,5225.66,0.7517517745721518,64.0,-0.4232909166541274,106.313,0,0,Mid,Midfield,Slow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,105.22110816141
0 days 02:19:19.437000,4,90.769,1.6875778962194048,3.0,,,29.324,-0.8944746240265582,24.869,0 days 02:18:18.053000,0 days 02:18:54.629000,0 days 02:19:19.498000,296.0,261.0,251.0,301.0,False,14.0,False,McLaren,0 days 02:17:48.668000,2024-07-07 15:22:45.697,1,3.0,False,,False,True,NOR,3.0,3.0,Finished,0.36883875344793793,0.8883095542935355,0.5191206850817597,-1.5100182403121738,0.1545086085923276,8268.668,8226.085,0.206142028225108,69.0,0.5680650991563821,90.769,0,1,Late,Top5,VeryFast,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,92.0935438121106
0 days 01:12:29.134000,31,93.898,-1.1927220120290094,1.0,,,30.112,-0.34870682111000667,25.855,0 days 01:11:25.413000,0 days 01:12:03.344000,0 days 01:12:29.199000,282.0,254.0,243.0,286.0,False,9.0,True,Alpine,0 days 01:10:55.236000,2024-07-07 14:15:52.265,1,17.0,False,,False,True,OCO,18.0,16.0,Lapped,-1.1367811377015729,0.28835948341231044,1.2039655159048135,0.3214105410157404,-0.23289849549047276,4255.236,4205.552,1.160959084332437,61.0,0.8456447835833258,93.898,0,0,Early,Backmarker,Medium,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,92.6723907176827
